Chord,Note
D-major triad,A4
Eb-major triad,G4
A-half-diminished seventh chord,A4
Major Third with octave doublings above G,G4
Bb-major triad,B-4
Eb-major triad,B-4
A-diminished triad,C5
Bb-major triad,D5
F-major triad,C5
G-minor triad,B-4
A-half-diminished seventh chord,A4
Eb-major triad,G4
G-minor triad,D5
C-minor seventh chord,E-5
F-major triad,C5
Bb-major triad,D5
Bb-quartal trichord,C5
Bb-major triad,B-4
Bb-major triad,B-4
C-quartal tetramirror,C5
Bb-major triad,D5
G-minor triad,D5
Major Third with octave doublings above Eb,E-5
C-minor triad,E-5
F-major triad,F5
Eb-quartal trichord,E-5
Bb-major triad,D5
F-major triad,C5
F-major triad,F5
Bb-major triad,D5
Bb-major triad,D5
F-major triad,C5
G-major-second minor tetrachord,B-4
A-half-diminished seventh chord,A4
G-minor triad,G4
G-major triad,D5
C-minor triad,E-5
F-dominant seventh chord,C5
Bb-major triad,D5
F-major triad,C5
Bb-major triad,B-4
G-major triad,G4
E-minor triad,G4
D-major triad,A4
G-major triad,B4
A-incomplete minor-seventh chord,C5
G-major triad,D5
G-major triad,D5
D-quartal trichord,D5
A-major triad,C#5
D-major triad,D5
Major Third with octave doublings above G,B4
C-major triad,C5
G-major triad,B4
D-major triad,A4
E-minor triad,G4
D-major triad,F#4
G-major triad,G4
D-major triad,A4
D-major triad,A4
G#-diminished triad,B4
Minor Third with octave doublings above A,C5
A-minor triad,C5
E-major triad,B4
Perfect Fourth with octave doublings above E,A4
E-major triad,B4
Minor Third with octave doublings above A,A4
E-major triad,B4
E-major triad,B4
E-major triad,B4
A-minor triad,C5
B-incomplete minor-seventh chord,D5
A-minor triad,E5
A-minor triad,E5
B-major triad,D#5
B-major triad,D#5
E-minor triad,E5
D-major triad,F#5
G-major triad,G5
G-major triad,B4
C-major triad,C5
G-major triad,B4
D-major triad,A4
D-major triad,A4
G-major triad,D5
C-major triad,E5
D-major triad,D5
C-major triad,C5
G-major triad,B4
G-quartal trichord,A4
G-major triad,G4
Bb-major triad,D5
Eb-major triad,B-4
A-diminished triad,C5
Bb-major triad,D5
Eb-quartal trichord,E-5
F-major triad,F5
Eb-major triad,E-5
Bb-major triad,D5
Bb-major triad,D5
C-incomplete minor-seventh chord,E-5
Bb-major triad,F5
Bb-major triad,F5
F-major triad,C5
D-minor triad,D5
G-incomplete minor-seventh chord,B-4
F-major triad,A4
D-minor triad,F4
G-minor triad,B-4
F-major triad,C5
Bb-major triad,D5
Bb-major triad,D5
Eb-quartal trichord,E-5
F-major triad,C5
D-major triad,D5
G-minor triad,B-4
F-major triad,C5
Bb-major triad,D5
C-quartal tetramirror,E-5
G-dominant seventh chord,F5
C-major-second minor tetrachord,E-5
G-major triad,D5
Bb-major triad,D5
Eb-quartal trichord,E-5
F-major triad,F5
Major Third with octave doublings above F,F5
F-major triad,C5
D-minor triad,D5
Bb-major triad,B-4
F-major triad,A4
F-dominant seventh chord,F4
Bb-major triad,B-4
C-minor triad,C5
Bb-major triad,D5
A-diminished triad,E-5
Bb-major triad,D5
F-major triad,C5
Bb-major triad,B-4
B-minor triad,F#4
B-minor triad,B4
F#-major triad,C#5
B-minor triad,D5
F#-minor triad,C#5
E-minor triad,B4
C#-diminished triad,C#5
F#-major triad,A#4
F#-major triad,F#4
F#-minor triad,A4
A-major triad,A4
C#-half-diminished seventh chord,G4
D-incomplete major-seventh chord,F#4
G-major triad,B4
C#-half-diminished seventh chord,B4
F#-incomplete dominant-seventh chord,A#4
B-minor triad,B4
F#-major triad,C#5
B-minor triad,D5
F#-minor seventh chord,E5
Major Third with octave doublings above D,F#5
D-phrygian tetrachord,E5
B-minor triad,F#5
G-major-second major tetrachord,G5
E-minor seventh chord,E5
A-major triad,E5
D-major triad,D5
D-major triad,F#5
A#-diminished triad,E5
B-minor triad,D5
A-major triad,C#5
E-minor triad,B4
C#-half-diminished seventh chord,C#5
B-minor triad,D5
E-minor triad,E5
F#-major triad,C#5
B-major triad,B4
B-dominant seventh chord,B4
E-minor triad,B4
E#-diminished seventh chord,B4
F#-major triad,A#4
F#-major triad,F#4
E-major triad,B4
F#-dominant seventh chord,C#5
B-minor triad,D5
B-minor triad,D5
A#-diminished seventh chord,E5
B-minor triad,D5
F#-major triad,C#5
F#-major triad,C#5
B-minor triad,D5
A-major triad,E5
D-major triad,F#5
A-perfect-fourth major tetrachord,E5
G-major triad,D5
E-minor triad,G5
E-minor triad,G5
B-minor triad,F#5
C#-incomplete minor-seventh chord,E5
B-minor seventh chord,F#5
D-quartal trichord,E5
Major Third with octave doublings above D,D5
B-minor triad,D5
C#-minor triad,C#5
G-major triad,B4
A-major triad,A4
C#-diminished triad,G4
D-major triad,F#4
E-quartal tetramirror,G4
D-major triad,A4
B-minor seventh chord,A4
G-major triad,B4
F#-incomplete minor-seventh chord,A4
E-major-second minor tetrachord,G4
B-minor triad,F#4
B-minor triad,F#5
C#-incomplete minor-seventh chord,E5
B-minor triad,D5
B-quartal trichord,C#5
B-major triad,B4
A-major triad,C#5
E-major triad,B4
A-major triad,A4
E-major triad,B4
A-major triad,C#5
B-major triad,D#5
E-major triad,E5
B-minor triad,F#5
E-major triad,E5
E-incomplete dominant-seventh chord,D5
A-major triad,C#5
A-quartal trichord,B4
B-minor seventh chord,B4
A-major triad,A4
A-major triad,C#5
E-major triad,E5
D-major triad,D5
C#-minor triad,C#5
B-minor triad,B4
D-major seventh chord,A4
C#-major triad,G#4
F#-minor triad,A4
E-major triad,B4
A-major triad,C#5
C#-minor seventh chord,C#5
E-dominant seventh chord,D5
E-major triad,E5
D-major triad,D5
A-major triad,C#5
A-major triad,C#5
D-major triad,D5
A-major triad,E5
B-incomplete minor-seventh chord,D5
A-major triad,C#5
E-major triad,B4
A-major triad,C#5
E-major triad,B4
E-major triad,B4
F#-minor triad,C#5
D#-diminished triad,D#5
E-major triad,E5
F#-minor seventh chord,E5
B-major triad,D#5
E-major triad,E5
E-diminished triad,E5
A-incomplete dominant-seventh chord,C#5
D-major triad,F#5
A-major triad,E5
B-incomplete minor-seventh chord,D5
A-major triad,C#5
A-quartal trichord,B4
E-major triad,B4
A-major triad,C#5
E-major triad,E5
D-major triad,D5
F#-minor seventh chord,C#5
F#-quartal tetramirror,B4
B-dominant seventh chord,B4
A-major triad,A4
Eb-major triad,E-5
Bb-major triad,D5
C-minor triad,C5
G-minor triad,B-4
Bb-minor seventh chord,A-4
Eb-dominant seventh chord,G4
Ab-major triad,C5
Major Third with octave doublings above Ab,C5
Eb-major triad,B-4
C-minor triad,E-5
G-minor triad,D5
Ab-major triad,C5
Eb-major triad,B-4
Ab-major triad,A-4
G-minor triad,G4
Ab-major triad,C5
D-half-diminished seventh chord,C5
G-minor triad,B-4
Eb-major triad,B-4
Ab-major triad,C5
G-minor triad,D5
C-minor triad,E-5
Bb-major triad,F5
Eb-incomplete dominant-seventh chord,G5
F-minor triad,F5
F-dominant seventh chord,E-5
Bb-incomplete dominant-seventh chord,D5
Eb-major triad,E-5
Major Third with octave doublings above Eb,E-5
Bb-major triad,D5
C-minor triad,C5
G-minor triad,B-4
Bb-minor seventh chord,A-4
Eb-dominant seventh chord,G4
Ab-major triad,C5
Major Third with octave doublings above Ab,C5
Eb-major triad,B-4
C-minor triad,E-5
G-minor triad,D5
Ab-major triad,C5
Eb-major triad,B-4
Ab-major triad,A-4
G-minor triad,G4
Ab-major triad,C5
D-half-diminished seventh chord,C5
G-minor triad,B-4
Eb-major triad,B-4
Ab-major triad,C5
G-minor triad,D5
C-minor triad,E-5
Bb-major triad,F5
Eb-incomplete dominant-seventh chord,G5
F-minor triad,F5
F-dominant seventh chord,E-5
Bb-incomplete dominant-seventh chord,D5
Eb-major triad,E-5
Eb-major triad,E-5
Ab-major triad,E-5
F-minor triad,F5
C-minor triad,E-5
C-quartal trichord,D5
C-minor triad,C5
G-minor triad,D5
F-dominant seventh chord,E-5
F-incomplete dominant-seventh chord,E-5
Bb-major triad,D5
Bb-major triad,D5
Eb-major triad,E-5
F-quartal tetramirror,F5
Eb-major triad,E-5
Eb-major seventh chord,D5
F-minor triad,C5
D-diminished triad,D5
Eb-major triad,E-5
G-minor triad,G5
F-major triad,F5
Bb-major triad,D5
Eb-major triad,G5
Eb-major triad,G5
C-minor triad,G5
F-minor triad,F5
F-minor seventh chord,E-5
Eb-major triad,E-5
Bb-major triad,D5
Eb-major triad,E-5
D-diminished triad,D5
Eb-major triad,E-5
Bb-major triad,D5
C-minor triad,C5
G-minor triad,B-4
C-minor seventh chord,B-4
F-major triad,A4
Bb-major triad,B-4
Eb-major triad,G5
Bb-major triad,F5
C-minor triad,E-5
G-major triad,D5
C-major triad,G5
F-minor triad,A-5
C-minor triad,G5
B-diminished seventh chord,F5
G-major triad,G5
C-minor triad,E-5
A-diminished seventh chord,E-5
Bb-major triad,D5
Eb-major triad,E-5
Eb-incomplete dominant-seventh chord,E-5
Ab-major triad,E-5
Ab-major triad,E-5
Bb-dominant seventh chord,F5
Eb-major triad,E-5
F-dominant seventh chord,E-5
Bb-major triad,D5
Eb-major triad,E-5
Eb-major triad,E-4
Eb-major triad,B-4
Eb-major triad,B-4
Ab-major triad,C5
G-major triad,D5
C-minor triad,E-5
C-minor triad,E-5
C-minor triad,G5
F-minor triad,F5
F-minor seventh chord,E-5
Eb-major triad,E-5
Bb-major triad,D5
Eb-major triad,E-5
Eb-major triad,E-5
F-quartal tetramirror,F5
Eb-major triad,G5
C-minor triad,G5
F-major triad,F5
F-incomplete dominant-seventh chord,E-5
Bb-major triad,D5
A-minor-second diminished tetrachord,C5
Bb-major triad,D5
Bb-major triad,B-4
Bb-dominant seventh chord,D5
Eb-major triad,E-5
Bb-major triad,D5
C-minor seventh chord,C5
F-major triad,C5
Bb-major triad,B-4
Bb-major triad,B-4
Eb-major triad,G4
F-quartal tetramirror,A-4
Eb-dominant seventh chord,B-4
Ab-major triad,C5
E-diminished seventh chord,B-4
G-quartal tetramirror,B-4
F-minor triad,A-4
F-quartal trichord,G4
C-minor triad,G4
Eb-dominant seventh chord,B-4
Ab-major triad,A-4
Eb-major triad,G4
F-dominant seventh chord,F4
Bb-major triad,F4
Eb-major triad,E-4
G-minor triad,G4
G-minor triad,G4
D-major triad,A4
G-minor triad,B-4
A-half-diminished seventh chord,A4
Eb-major triad,G4
F#-diminished triad,F#4
A-incomplete minor-seventh chord,G4
G-minor triad,G4
G-major-diminished tetrachord,F#4
enharmonic equivalent to diminished triad above G,G4
D-major triad,A4
D-major triad,A4
Bb-augmented triad,B-4
G-minor triad,B-4
D-perfect-fourth minor tetrachord,A4
G-minor seventh chord,B-4
C-major triad,C5
D-major triad,D5
G-minor triad,B-4
A-half-diminished seventh chord,A4
G-minor triad,G4
D-minor triad,A4
D-minor triad,A4
Bb-major triad,B-4
A-minor triad,C5
E-diminished triad,B-4
Major Third with octave doublings above F,A4
G-minor seventh chord,G4
F-major triad,F4
F-major triad,C5
G-dominant seventh chord,D5
C#-diminished triad,E5
Minor Third with octave doublings above D,F5
E-half-diminished seventh chord,E5
Bb-major triad,D5
A-major triad,C#5
D-major triad,D5
Bb-major triad,D5
Bb-major triad,D5
F-major triad,C5
G-incomplete minor-seventh chord,B-4
Major Third with octave doublings above F,A4
G-incomplete minor-seventh chord,B-4
F-dominant seventh chord,C5
D-major triad,D5
D-incomplete dominant-seventh chord,C5
G-minor triad,B-4
D-major triad,A4
G-minor triad,D5
G-minor triad,D5
Minor Third with octave doublings above A,C5
A-quartal tetramirror,D5
F#-diminished seventh chord,E-5
G-minor triad,D5
F#-major-third diminished tetrachord,C5
C-incomplete dominant-seventh chord,B-4
D-major triad,A4
D-major triad,A4
G-minor triad,B-4
G-perfect-fourth minor tetrachord,B-4
Bb-augmented major tetrachord,A4
G-minor triad,B-4
Minor Third with octave doublings above A,C5
D-major triad,D5
G-minor triad,B-4
A-half-diminished seventh chord,A4
G-major triad,G4
C-minor triad,G4
G-major triad,G4
C-minor triad,E-4
F-minor triad,F4
C-minor triad,G4
D-diminished triad,F4
C-minor triad,E-4
G-major triad,D4
C-minor triad,C4
C-minor triad,G4
Eb-major triad,G4
Bb-major triad,F4
Bb-major triad,B-4
Eb-major triad,G4
Bb-perfect-fourth major tetrachord,F4
Ab-major triad,E-4
F-minor triad,F4
G-major triad,G4
C-minor triad,G4
A-diminished triad,A4
G-minor triad,B-4
F-minor seventh chord,C5
D-diminished triad,D5
Major Third with octave doublings above Eb,E-5
D-minor triad,D5
Ab-major triad,C5
G-major triad,B4
C-minor triad,C5
F-major triad,C5
Bb-major triad,D5
F#-diminished triad,C5
G-minor triad,B-4
A-half-diminished seventh chord,A4
Eb-incomplete major-seventh chord,G4
D-dominant seventh chord,A4
G-major triad,G4
F-major triad,C5
Bb-major triad,B-4
A-diminished triad,A4
Bb-major triad,B-4
Bb-dominant seventh chord,A-4
C-minor triad,G4
Ab-major seventh chord,G4
Bb-major triad,F4
Eb-major triad,E-4
C-major triad,G4
F-minor triad,A-4
Eb-augmented triad,G4
G-dominant seventh chord,F4
Ab-major triad,E-4
D-diminished triad,F4
Eb-augmented triad,E-4
C-quartal trichord,D4
C-major triad,C4
Minor Third with octave doublings above A,A4
A-minor triad,A4
A-minor triad,A4
E-major triad,G#4
E-major triad,E4
A-minor triad,A4
G#-major-third diminished tetrachord,B4
A-minor triad,C5
A-minor triad,C5
D-minor triad,D5
F-major triad,C5
B-incomplete half-diminished seventh chord,B4
D-incomplete dominant-seventh chord,C5
E-major triad,B4
E-major triad,B4
A-minor triad,C5
G-dominant seventh chord,D5
E-minor triad,E5
G-incomplete dominant-seventh chord,F5
C-major triad,E5
F-major seventh chord,C5
D-minor triad,F5
D-minor triad,F5
A-minor triad,E5
B-minor tetramirror,D5
A-minor triad,C5
C-major-second major tetrachord,D5
D-minor seventh chord,D5
C-major triad,C5
A-minor triad,C5
B-dominant seventh chord,B4
F#-minor-second diminished tetrachord,A4
E-minor triad,G4
E-quartal trichord,F#4
E-minor triad,E4
E-quartal trichord,F#4
E-minor triad,G4
C#-diminished seventh chord,G4
A-major triad,A4
E-perfect-fourth minor tetrachord,G4
D-major-second minor tetrachord,F4
A-major triad,E4
A-minor triad,E5
D-dominant seventh chord,D5
A-minor triad,C5
B-half-diminished seventh chord,B4
B-half-diminished seventh chord,B4
A-major triad,A4
B-minor triad,F#4
B-minor triad,B4
F#-major triad,C#5
B-minor triad,D5
F#-major triad,C#5
G-major triad,B4
C#-diminished triad,C#5
F#-major triad,A#4
F#-major triad,F#4
F#-minor triad,A4
B-minor seventh chord,A4
A-dominant seventh chord,G4
D-major triad,F#4
G-major triad,B4
C#-half-diminished seventh chord,B4
F#-major triad,A#4
B-minor triad,B4
F#-major triad,C#5
B-minor triad,D5
A-major triad,E5
D-major triad,F#5
B-minor triad,F#5
E-minor seventh chord,E5
D-incomplete major-seventh chord,D5
D-major triad,D5
D-major triad,F#5
A#-diminished triad,E5
B-minor triad,D5
C#-half-diminished seventh chord,C#5
G-incomplete major-seventh chord,B4
C#-half-diminished seventh chord,C#5
B-minor triad,D5
F#-major triad,C#5
B-major triad,B4
F-major triad,F5
F-major triad,F5
Bb-minor triad,F5
F-minor triad,F5
Eb-minor triad,E-5
Gb-major seventh chord,D-5
F-major triad,C5
Bb-minor triad,D-5
Eb-minor triad,E-5
D-diminished seventh chord,F5
Bb-dominant seventh chord,F5
Eb-minor triad,E-5
Bb-minor triad,D-5
F-major triad,C5
Bb-minor triad,B-4
F-major triad,C5
Bb-minor triad,D-5
Gb-major triad,B-4
Bb-major triad,B-4
Bb-dominant seventh chord,A-4
Eb-minor triad,G-4
Bb-major triad,F4
Eb-minor triad,G-4
Ab-minor triad,A-4
G-diminished seventh chord,B-4
G-diminished seventh chord,B-4
Ab-minor triad,A-4
enharmonic equivalent to diminished triad above A,G-4
Bb-major triad,F4
Bb-minor triad,B-4
A-diminished triad,A4
Bb-minor triad,B-4
C-half-diminished seventh chord,C5
Bb-minor triad,D-5
Db-incomplete major-seventh chord,C5
Bb-minor triad,B-4
Gb-major triad,B-4
Db-major triad,D-5
Ab-major triad,E-5
Db-major triad,F5
Bb-minor triad,F5
Eb-minor triad,E-5
Gb-major seventh chord,D-5
C-half-diminished seventh chord,C5
F-major triad,C5
Bb-minor triad,B-4
F-major triad,C5
Bb-minor triad,D-5
F-minor triad,C5
Gb-major triad,B-4
Bb-major triad,B-4
Bb-dominant seventh chord,A-4
Eb-minor triad,G-4
Bb-major triad,F4
Eb-minor triad,G-4
Db-major triad,A-4
Gb-major triad,B-4
Gb-major triad,B-4
Db-major triad,A-4
Eb-minor triad,G-4
F-incomplete dominant-seventh chord,F4
F-major triad,F4
A-minor triad,A4
F-major triad,A4
B-perfect-fourth diminished tetrachord,B4
C-major triad,C5
D-major triad,D5
G-major triad,B4
D#-diminished triad,A4
E-minor triad,G4
E-minor triad,G4
A-minor triad,A4
D-minor triad,A4
B-half-diminished seventh chord,B4
E-major triad,B4
D-quartal trichord,E4
C-major triad,E5
G#-diminished triad,D5
A-minor triad,C5
G#-diminished seventh chord,B4
A-minor triad,A4
E-major triad,B4
E-major triad,B4
A-minor triad,C5
G-dominant seventh chord,D5
C-major triad,E5
A-minor triad,E5
D-major triad,D5
G-major triad,B4
G#-diminished seventh chord,D5
A-minor triad,C5
A-quartal trichord,B4
F-phrygian tetrachord,A4
D-minor triad,A4
B-major triad,B4
D#-diminished triad,A4
E-minor triad,G4
B-diminished triad,F4
C-major triad,E4
F-major triad,A4
B-half-diminished seventh chord,B4
A-minor triad,C5
E-major triad,B4
Minor Third with octave doublings above A,A4
B-minor triad,F#4
G-major triad,G4
D-major triad,A4
G-major triad,B4
D-major triad,A4
D-major triad,D5
D-major triad,D5
A-major triad,C#5
D-major triad,D5
E-dominant seventh chord,D5
A-major triad,C#5
E-minor triad,B4
E-minor triad,E5
B-minor triad,D5
B-quartal trichord,C#5
C#-half-diminished seventh chord,C#5
B-minor triad,B4
B-minor triad,B4
E-major triad,B4
E-major triad,B4
C#-major triad,C#5
C#-dominant seventh chord,B4
F#-minor triad,A4
B-dominant seventh chord,A4
C#-minor triad,G#4
A-major triad,A4
D-major triad,A4
G#-half-diminished seventh chord,B4
A#-diminished triad,C#5
Minor Third with octave doublings above B,D5
A#-diminished triad,C#5
B-minor triad,B4
F#-major triad,C#5
B-minor triad,F#4
G-major seventh chord,G4
F#-minor triad,A4
G#-half-diminished seventh chord,B4
F#-minor triad,A4
B-minor triad,D5
E-dominant seventh chord,D5
F#-minor triad,C#5
D-major triad,D5
D-major triad,D5
A-major triad,C#5
E-major triad,B4
E-minor triad,E5
B-minor triad,D5
B-major-second minor tetrachord,C#5
C#-dominant seventh chord,C#5
B-major triad,B4
F#-minor triad,A5
B-minor triad,D5
E-minor seventh chord,G5
E-minor-ninth chord,F#5
A-major triad,E5
A-dominant seventh chord,G5
D-major triad,F#5
A-dominant seventh chord,A5
D-major triad,D5
E-minor seventh chord,G5
E-minor-ninth chord,F#5
A-major triad,E5
A-dominant seventh chord,G5
D-major triad,F#5
D-major seventh chord,A5
D-quartal trichord,A5
A-dominant seventh chord,G5
D-major triad,F#5
D-major-second major tetrachord,E5
D-major triad,F#5
D-all-interval tetrachord,G#5
A-major triad,A5
A-dominant seventh chord,A5
D-major triad,D5
E-minor seventh chord,B5
D-major pentachord,A5
A-dominant seventh chord,G5
A-major triad,A5
D-major triad,F#5
Ab-major triad,C5
Db-major triad,A-4
G-diminished triad,B-4
Ab-major triad,C5
Bb-incomplete minor-seventh chord,D-5
Ab-major triad,E-5
Db-major seventh chord,D-5
Ab-major triad,C5
F-minor triad,C5
Db-major triad,D-5
Ab-major triad,E-5
Ab-major triad,E-5
Eb-major triad,B-4
C-minor triad,C5
F-incomplete minor-seventh chord,A-4
Eb-major triad,G4
Eb-dominant seventh chord,E-4
Ab-major triad,A-4
Bb-minor triad,B-4
Major Third with octave doublings above Ab,C5
Ab-major triad,C5
Eb-major triad,B-4
C-major triad,C5
F-minor triad,A-4
C-minor seventh chord,B-4
Ab-major triad,C5
Bb-quartal tetramirror,D-5
F-dominant seventh chord,E-5
Bb-minor triad,D-5
F-major triad,C5
F-minor triad,C5
Db-major triad,D-5
Eb-major triad,E-5
Ab-major triad,E-5
Bb-dominant seventh chord,B-4
F-quartal trichord,C5
F-major-second minor tetrachord,A-4
C-major triad,G4
Minor Third with octave doublings above C,E-4
F-minor seventh chord,A-4
C-minor seventh chord,B-4
Major Third with octave doublings above Ab,C5
Db-major triad,D-5
Db-major seventh chord,C5
Eb-major triad,B-4
Ab-major triad,A-4
Bb-major triad,B-4
G-minor triad,B-4
D-minor triad,F5
F-major triad,F5
Eb-major triad,E-5
Bb-major seventh chord,D5
C-minor seventh chord,C5
D-diminished triad,D5
Eb-major triad,E-5
Eb-incomplete major-seventh chord,D5
F-major triad,C5
Bb-major triad,B-4
Eb-major triad,B-4
F#-diminished seventh chord,C5
B-diminished triad,D5
C-minor triad,E-5
C-minor triad,C5
Bb-major triad,F5
G-minor seventh chord,G5
F-major triad,F5
D-dominant seventh chord,D5
G-minor triad,D5
C-minor triad,E-5
D-diminished triad,F5
F-dominant seventh chord,E-5
Bb-major triad,D5
F-perfect-fourth major tetrachord,C5
G-minor triad,B-4
D-quartal tetramirror,C5
E-half-diminished seventh chord,D5
C-dominant seventh chord,C5
F-major triad,C5
Bb-major triad,D5
Eb-major triad,B-4
B-minor-second diminished tetrachord,C5
B-diminished triad,D5
C-minor triad,E-5
G-minor triad,D5
Ab-major-second major tetrachord,C5
D-diminished triad,D5
Eb-major triad,E-5
Bb-major triad,D5
F-major triad,C5
G-minor triad,B-4
F-major triad,F5
F-dominant seventh chord,E-5
D-dominant seventh chord,D5
Eb-major triad,E-5
G-minor seventh chord,D5
C-dominant seventh chord,C5
Bb-major triad,B-4
Bb-major triad,F4
G-minor triad,G4
F-minor triad,A-4
Eb-major triad,B-4
Ab-major triad,C5
Eb-major triad,B-4
C-minor triad,E-5
G-major triad,D5
C-incomplete major-seventh chord,C5
C-minor triad,C5
G-minor triad,B-4
C-minor triad,E-5
G-minor triad,D5
F-minor triad,C5
Bb-major triad,B-4
F-minor triad,A-4
F-quartal trichord,G4
F-minor triad,F4
F-minor triad,F4
C-minor triad,G4
Db-major triad,A-4
G-diminished triad,B-4
Ab-major triad,C5
Eb-major triad,B-4
C-minor triad,E-5
G-major triad,D5
C-incomplete major-seventh chord,C5
C-minor triad,C5
G-minor triad,B-4
C-minor triad,E-5
D-incomplete minor-seventh chord,D5
F-perfect-fourth minor tetrachord,C5
G-diminished triad,B-4
F-minor triad,A-4
C-dominant seventh chord,G4
F-minor triad,F4
F-minor triad,F4
Bb-major triad,B-4
Perfect Fourth with octave doublings above Bb,B-4
Eb-major triad,G4
C-major-second minor tetrachord,C5
C-quartal trichord,C5
G-major triad,B4
C-minor triad,C5
C-minor triad,C5
F-dominant seventh chord,F5
Bb-major triad,F5
Eb-major triad,G5
Bb-perfect-fourth major tetrachord,F5
Ab-major triad,E-5
D-diminished triad,F5
F-minor seventh chord,E-5
G-major triad,D5
C-minor triad,C5
G-major triad,D5
C-minor triad,E-5
D-diminished triad,D5
Ab-major triad,C5
E-diminished triad,B-4
C-major triad,C5
C-dominant seventh chord,B-4
F-minor triad,A-4
C-major triad,G4
F-minor triad,F4
C-minor triad,G4
Db-major triad,A-4
G-diminished triad,B-4
Ab-incomplete major-seventh chord,C5
Ab-augmented seventh chord,B-4
Db-major triad,A-4
G-diminished triad,B-4
Bb-minor seventh chord,A-4
C-major triad,G4
F-minor triad,F4
F-major triad,F5
Bb-major triad,F5
Bb-major triad,F5
Eb-major triad,G5
F-minor triad,F5
C-minor triad,E-5
G-major triad,D5
C-major triad,C5
B-minor triad,F#4
G-major triad,G4
D-major triad,A4
G-major triad,B4
D-major triad,A4
D-major triad,D5
D-major triad,D5
A-major triad,C#5
D-major triad,D5
B-minor triad,D5
F#-major triad,C#5
G-major triad,B4
E-minor triad,E5
B-minor triad,D5
C#-minor seventh chord,C#5
F#-major triad,C#5
B-minor triad,B4
B-minor triad,B4
E-major triad,B4
E-major triad,B4
C#-minor triad,C#5
E-incomplete dominant-seventh chord,D5
A-major triad,C#5
B-incomplete minor-seventh chord,B4
A-major triad,A4
A-quartal trichord,A4
C#-minor triad,G#4
A-major triad,A4
D-major triad,A4
B-minor triad,B4
C#-quartal tetramirror,C#5
B-minor triad,D5
C#-incomplete minor-seventh chord,C#5
B-minor triad,B4
F#-major triad,C#5
B-minor triad,F#4
E-minor triad,G4
F#-minor triad,A4
G-major triad,B4
D-major triad,A4
D-major-second major tetrachord,D5
Perfect Fourth with octave doublings above A,D5
F#-minor triad,C#5
D-major triad,D5
B-incomplete minor-seventh chord,D5
A-major triad,C#5
E-minor triad,B4
E-minor triad,E5
B-minor triad,D5
G#-quartal tetramirror,C#5
F#-major triad,C#5
B-major triad,B4
F#-minor triad,C#5
B-minor triad,D5
E-major triad,E5
C#-minor triad,E5
D-major triad,D5
A-major triad,C#5
E-major triad,B4
E-major triad,B4
A-major triad,C#5
D-major triad,D5
A-major triad,E5
B-quartal tetramirror,D5
A-major triad,C#5
B-minor seventh chord,B4
E-major triad,B4
E-tritone quartal tetrachord,A4
A-major triad,A4
A-major triad,C#5
B-minor triad,D5
E-major triad,E5
C#-minor triad,E5
D-major triad,D5
A-major triad,C#5
E-major triad,B4
E-major triad,B4
A-major triad,C#5
D-major triad,D5
A-major triad,E5
B-quartal tetramirror,D5
A-major triad,C#5
B-minor seventh chord,B4
E-major triad,B4
E-tritone quartal tetrachord,A4
A-major triad,A4
E-major triad,B4
A#-major-third diminished tetrachord,C#5
B-minor triad,D5
F#-perfect-fourth major tetrachord,C#5
E-minor seventh chord,D5
E-minor seventh chord,E5
C#-half-diminished seventh chord,C#5
F#-major triad,C#5
B-minor triad,B4
B-minor triad,D5
C#-incomplete minor-seventh chord,E5
D-major triad,F#5
E-minor seventh chord,E5
G-major seventh chord,F#5
G-major triad,G5
D-major triad,F#5
A-dominant seventh chord,E5
D-major seventh chord,D5
D-major triad,D5
A-major triad,C#5
G#-minor-second diminished tetrachord,D5
E-major triad,E5
C#-incomplete minor-seventh chord,E5
D-major triad,D5
F#-minor seventh chord,C#5
E-major triad,B4
E-major triad,B4
A-major triad,C#5
G#-tritone-fourth,D5
Minor Third with octave doublings above C#,E5
A-major triad,A4
B-minor seventh chord,B4
A-major triad,C#5
E-dominant seventh chord,B4
A-major seventh chord,A4
A-major triad,A4
A-major triad,A4
C-minor triad,G4
C-minor triad,C5
G-major triad,B4
C-minor triad,C5
D-quartal tetramirror,D5
C-minor triad,E-5
Bb-major triad,B-4
Bb-incomplete dominant-seventh chord,A-4
Eb-major triad,G4
Eb-major triad,G4
F-minor seventh chord,F4
Bb-major triad,B-4
Eb-major triad,G4
F-minor triad,C5
B-diminished triad,B4
A-incomplete minor-seventh chord,C5
G-major triad,D5
C-minor triad,E-5
D-diminished triad,D5
F-incomplete dominant-seventh chord,C5
Bb-major triad,B-4
Bb-incomplete dominant-seventh chord,A-4
Eb-major triad,G4
Ab-major triad,A-4
Eb-major triad,B-4
F-minor seventh chord,F4
Eb-major triad,E-4
Eb-major triad,E-5
D-diminished triad,D5
Ab-major triad,C5
Bb-dominant seventh chord,B-4
Eb-major triad,B-4
F-minor triad,C5
Bb-major triad,B-4
Bb-dominant seventh chord,A-4
G-minor triad,G4
Eb-major triad,G4
Bb-major triad,F4
E-diminished triad,B-4
F-minor triad,A-4
G-dominant seventh chord,G4
C-minor triad,E-5
C-major-second minor tetrachord,D5
B-diminished triad,B4
A-incomplete minor-seventh chord,C5
G-major triad,D5
C-minor triad,E-5
F-minor triad,F5
C-minor triad,E-5
D-diminished triad,D5
F-minor seventh chord,C5
B-diminished seventh chord,B4
